feature,importance
rc_ratio,0.1569940314730094
margin_ratio,0.1493514818846223
dea_score,0.1456711625525218
crisis_resilience_score,0.09690948926500179
asset_utilization_score,0.08345901617932636
margin,0.07798101637822305
asset_utilization,0.05497740330675745
rc_viability_score,0.04287501603188403
cost_per_quantity,0.02521193221222122
land_lease_share,0.02471942889349152
output_value,0.0196911212712819
actor_Farmer,0.01897484172205344
supporting_equipment_share,0.01555194617134348
total_cost,0.013848394874035864
labor_cost_share,0.012860230165087572
output_per_quantity,0.011739396697618974
equipment_rent_share,0.010090885614440742
building_rent_share,0.009802151187223865
actor_Middlemen,0.008828540494265975
actor_Retail,0.006998149964413715
region_Karawang,0.0036775340754924106
actor_Wholesaler,0.0024963766075041935
region_Garut,0.002412430332673692
actor_Rice Miller,0.0021907461429144163
region_Indramayu,0.0013645074425411967
region_Subang,0.0006888691564243595
region_Tasikmalaya,0.000633899903625374
