feature,importance_mean,importance_std
crisis_resilience_score,0.09614889017376094,0.008683645205058932
cluster,0.08325942220198035,0.0008721617526075143
asset_utilization_score,0.06828165050552426,0.018336160451571826
dea_score,0.0205746011800072,0.006078165081426112
rc_viability_score,0.020121852282644126,0.003995597664848305
dea_score_filled,0.01573163987424403,6.502948849390622e-05
actor,0.012341976278290367,0.0017101048775256533
margin_ratio,0.010162715246371745,0.0019109973768542399
land_lease_share,0.005642372017109376,0.001981602709726027
total_cost,0.003981051344528641,0.003642923382306762
labor_cost_share,0.0038119873634177015,0.0038119873634177015
rc_ratio,0.00033735678681762193,0.003963573611471094
margin,0.00016429730748057647,0.0074596774193548265
building_rent_share,0.0,0.0
equipment_rent_share,0.0,0.0
cost_per_quantity,-0.0016545575733240003,0.00564082253855025
asset_proxy,-0.0018564657083713354,0.0018564657083713354
output_per_quantity,-0.001994207863243558,0.001994207863243558
supporting_equipment_share,-0.0034786260748261855,0.0038167540370480646
region,-0.0035511288550771902,0.00024315307585226487
quantity_proxy,-0.003647690055937125,0.003647690055937125
asset_utilization,-0.005301677945549588,0.0019937021663246624
output_value,-0.005460798468263861,0.001834581643610389
